id,level,candidate,control,game,side,outcome,plies,reason
short-anchored50-tempo40-14-black,short,anchored50,tempo40,14,black,win,118,checkmate
short-anchored50-tempo40-14-white,short,anchored50,tempo40,14,white,loss,134,checkmate
short-anchored50-tempo40-15-black,short,anchored50,tempo40,15,black,loss,73,checkmate
short-anchored50-tempo40-15-white,short,anchored50,tempo40,15,white,win,55,checkmate
short-anchored50-tempo40-2-black,short,anchored50,tempo40,2,black,loss,113,checkmate
short-anchored50-tempo40-2-white,short,anchored50,tempo40,2,white,win,33,checkmate
short-anchored50-tempo40-3-black,short,anchored50,tempo40,3,black,loss,97,checkmate
short-anchored50-tempo40-3-white,short,anchored50,tempo40,3,white,loss,56,checkmate
short-anchored50-tempo40-4-black,short,anchored50,tempo40,4,black,loss,149,checkmate
short-anchored50-tempo40-4-white,short,anchored50,tempo40,4,white,loss,118,checkmate
short-anchored50-tempo40-5-black,short,anchored50,tempo40,5,black,loss,85,checkmate
short-anchored50-tempo40-5-white,short,anchored50,tempo40,5,white,loss,114,checkmate
short-anchored50-tempo40-6-black,short,anchored50,tempo40,6,black,win,104,checkmate
short-anchored50-tempo40-6-white,short,anchored50,tempo40,6,white,win,69,checkmate
short-anchored50-tempo40-7-black,short,anchored50,tempo40,7,black,loss,27,checkmate
short-anchored50-tempo40-7-white,short,anchored50,tempo40,7,white,win,27,checkmate
short-anchored50-tempo40-8-black,short,anchored50,tempo40,8,black,loss,107,checkmate
short-anchored50-tempo40-8-white,short,anchored50,tempo40,8,white,win,87,checkmate
short-anchored50-tempo40-9-black,short,anchored50,tempo40,9,black,win,68,checkmate
short-anchored50-tempo40-9-white,short,anchored50,tempo40,9,white,win,99,checkmate
long-anchored50-base-0-black,long,anchored50,base,0,black,win,174,checkmate
long-anchored50-base-0-white,long,anchored50,base,0,white,loss,60,checkmate
long-anchored50-base-1-black,long,anchored50,base,1,black,win,64,checkmate
long-anchored50-base-1-white,long,anchored50,base,1,white,loss,140,checkmate
long-anchored50-base-2-black,long,anchored50,base,2,black,win,48,checkmate
long-anchored50-base-2-white,long,anchored50,base,2,white,win,37,checkmate
long-anchored50-base-3-black,long,anchored50,base,3,black,win,68,checkmate
long-anchored50-base-3-white,long,anchored50,base,3,white,loss,56,checkmate
long-anchored50-base-4-black,long,anchored50,base,4,black,loss,81,checkmate
long-anchored50-base-4-white,long,anchored50,base,4,white,loss,62,checkmate
long-anchored50-base-5-black,long,anchored50,base,5,black,win,44,checkmate
long-anchored50-base-5-white,long,anchored50,base,5,white,win,95,checkmate
long-anchored50-base-6-black,long,anchored50,base,6,black,loss,129,checkmate
long-anchored50-base-6-white,long,anchored50,base,6,white,win,113,checkmate
long-anchored50-base-7-black,long,anchored50,base,7,black,loss,21,checkmate
long-anchored50-base-7-white,long,anchored50,base,7,white,win,45,checkmate
long-anchored50-tempo40-0-black,long,anchored50,tempo40,0,black,win,58,checkmate
long-anchored50-tempo40-0-white,long,anchored50,tempo40,0,white,loss,80,checkmate
long-anchored50-tempo40-1-black,long,anchored50,tempo40,1,black,win,72,checkmate
long-anchored50-tempo40-1-white,long,anchored50,tempo40,1,white,loss,104,checkmate
long-anchored50-tempo40-2-black,long,anchored50,tempo40,2,black,win,48,checkmate
long-anchored50-tempo40-2-white,long,anchored50,tempo40,2,white,loss,72,checkmate
long-anchored50-tempo40-3-black,long,anchored50,tempo40,3,black,win,50,checkmate
long-anchored50-tempo40-3-white,long,anchored50,tempo40,3,white,loss,70,checkmate
long-anchored50-tempo40-4-black,long,anchored50,tempo40,4,black,loss,79,checkmate
long-anchored50-tempo40-4-white,long,anchored50,tempo40,4,white,loss,66,checkmate
long-anchored50-tempo40-5-black,long,anchored50,tempo40,5,black,loss,91,checkmate
long-anchored50-tempo40-5-white,long,anchored50,tempo40,5,white,win,79,checkmate
long-anchored50-tempo40-6-black,long,anchored50,tempo40,6,black,win,80,checkmate
long-anchored50-tempo40-6-white,long,anchored50,tempo40,6,white,unresolved,200,move-limit
long-anchored50-tempo40-7-black,long,anchored50,tempo40,7,black,loss,23,checkmate
long-anchored50-tempo40-7-white,long,anchored50,tempo40,7,white,win,27,checkmate
