id,variant,repeat,ms,nodes,score,bestmove,depth
5,lmr,1,69.312,48141,888,4e3f,4
5,lmr,2,66.461,48141,888,4e3f,4
6,lmr,0,118.302,82402,-148,G*7d,4
6,lmr,1,115.575,82402,-148,G*7d,4
6,lmr,2,163.364,82402,-148,G*7d,4
7,lmr,0,29.002,16222,-3314,4b3a,4
7,lmr,1,22.598,16222,-3314,4b3a,4
7,lmr,2,22.967,16222,-3314,4b3a,4
8,lmr,0,39.582,26765,-430,7a8b,4
8,lmr,1,39.036,26765,-430,7a8b,4
8,lmr,2,45.391,26765,-430,7a8b,4
9,lmr,0,10.653,7699,-750,6d6e,4
9,lmr,1,10.753,7699,-750,6d6e,4
9,lmr,2,10.801,7699,-750,6d6e,4
10,lmr,0,59.596,37546,-256,7e7f,4
10,lmr,1,56.836,37546,-256,7e7f,4
10,lmr,2,55.584,37546,-256,7e7f,4
11,lmr,0,38.597,25857,-371,5i4i,4
11,lmr,1,39.507,25857,-371,5i4i,4
11,lmr,2,38.573,25857,-371,5i4i,4
12,lmr,0,14.722,9401,65,8g8f,4
12,lmr,1,13.659,9401,65,8g8f,4
12,lmr,2,14.016,9401,65,8g8f,4
13,lmr,0,27.245,17157,-1171,2h4h,4
13,lmr,1,26.043,17157,-1171,2h4h,4
13,lmr,2,26.52,17157,-1171,2h4h,4
14,lmr,0,30.177,19491,-125,6f6e,4
14,lmr,1,30.303,19491,-125,6f6e,4
14,lmr,2,30.874,19491,-125,6f6e,4
15,lmr,0,24.48,17287,219,7h8g,4
15,lmr,1,25.472,17287,219,7h8g,4
15,lmr,2,25.658,17287,219,7h8g,4
0,history,0,74.36,52925,-2854,3b3a,4
0,history,1,77.811,52925,-2854,3b3a,4
0,history,2,73.884,52925,-2854,3b3a,4
1,history,0,18.631,12338,51,5c5d,4
1,history,1,24.724,12338,51,5c5d,4
1,history,2,18.835,12338,51,5c5d,4
2,history,0,71.147,45790,-3,2e2d,4
2,history,1,72.431,45790,-3,2e2d,4
2,history,2,71.703,45790,-3,2e2d,4
3,history,0,246.861,185499,-2293,6e5g+,4
3,history,1,245.668,185499,-2293,6e5g+,4
3,history,2,236.119,185499,-2293,6e5g+,4
4,history,0,65.254,44292,-150,4h3h,4
4,history,1,72.409,44292,-150,4h3h,4
4,history,2,66.958,44292,-150,4h3h,4
5,history,0,95.641,71788,749,4e3f,4
5,history,1,111.684,71788,749,4e3f,4
5,history,2,95.077,71788,749,4e3f,4
6,history,0,207.53,127138,-148,G*8c,4
6,history,1,189.495,127138,-148,G*8c,4
6,history,2,196.354,127138,-148,G*8c,4
7,history,0,50.423,33708,-2842,5c5d,4
7,history,1,48.387,33708,-2842,5c5d,4
7,history,2,49.227,33708,-2842,5c5d,4
8,history,0,62.803,44030,-430,7a8b,4
8,history,1,65.964,44030,-430,7a8b,4
8,history,2,64.429,44030,-430,7a8b,4
9,history,0,17.675,12397,-750,6d6e,4
9,history,1,17.083,12397,-750,6d6e,4
9,history,2,16.715,12397,-750,6d6e,4
10,history,0,82.924,55053,-401,4d2f,4
10,history,1,87.835,55053,-401,4d2f,4
10,history,2,89.267,55053,-401,4d2f,4
11,history,0,73.993,42701,-378,5i4i,4
11,history,1,66.182,42701,-378,5i4i,4
11,history,2,68.166,42701,-378,5i4i,4
12,history,0,22.698,13125,65,8g8f,4
12,history,1,21.918,13125,65,8g8f,4
12,history,2,20.196,13125,65,8g8f,4
13,history,0,44.525,27413,-1171,2h4h,4
13,history,1,42.208,27413,-1171,2h4h,4
13,history,2,44.621,27413,-1171,2h4h,4
14,history,0,51.546,33155,-125,6f6e,4
14,history,1,51.209,33155,-125,6f6e,4
14,history,2,52.11,33155,-125,6f6e,4
15,history,0,63.848,39075,206,7h8g,4
15,history,1,58.15,39075,206,7h8g,4
15,history,2,54.78,39075,206,7h8g,4
