id,repeat,budgetMs,variant,elapsedMs,nodes,depth,move,gapCp,deltaGapCp,changed,pvLength,lmrReductions,lmrResearches
9,0,1000,fast,1000.136,499502,5,6d6e,0,0,False,6,0,0
9,0,1000,lmr,1000.104,558541,6,6d6e,0,0,False,10,2227,0
9,0,1000,history,1000.104,505664,6,6d6e,0,0,False,10,3782,0
9,0,1000,baseline,1000.112,282243,5,6d6e,0,0,False,6,0,0
9,1,1000,lmr,1000.094,599420,6,6d6e,0,0,False,10,2227,0
9,1,1000,history,1000.095,542968,6,6d6e,0,0,False,10,3782,0
9,1,1000,baseline,1000.106,278077,5,6d6e,0,0,False,6,0,0
9,1,1000,fast,1000.09,486817,5,6d6e,0,0,False,6,0,0
10,0,1000,lmr,1000.1,495032,6,9d9e,247,-60,True,6,4670,26
10,0,1000,history,1000.103,455198,6,6c7d,0,-307,True,6,6182,6
10,0,1000,baseline,1000.097,277635,5,7e7f,307,0,False,5,0,0
10,0,1000,fast,1000.112,451339,5,7e7f,307,0,False,5,0,0
10,1,1000,history,1000.132,463865,6,6c7d,0,-307,True,6,6329,6
10,1,1000,baseline,1000.094,249493,5,7e7f,307,0,False,5,0,0
10,1,1000,fast,1000.109,416038,5,7e7f,307,0,False,5,0,0
10,1,1000,lmr,1000.098,482001,6,9d9e,247,-60,True,6,4609,26
11,0,1000,history,1000.319,403078,5,4h5h,0,-26,True,5,4854,14
11,0,1000,baseline,1000.098,258162,5,2i3g,26,0,False,5,0,0
11,0,1000,fast,1000.096,425886,5,2i3g,26,0,False,5,0,0
11,0,1000,lmr,1000.108,470363,6,3f3e,225,199,True,6,9777,48
11,1,1000,baseline,1000.095,262453,5,2i3g,26,0,False,5,0,0
11,1,1000,fast,1000.095,456333,5,2i3g,26,0,False,5,0,0
11,1,1000,lmr,1000.123,465004,6,3f3e,225,199,True,6,9774,47
11,1,1000,history,1000.101,471282,6,4h5h,0,-26,True,7,5084,15
12,0,1000,baseline,1000.201,281239,5,8g8f,0,0,False,5,0,0
12,0,1000,fast,1000.181,454681,6,8g8f,0,0,False,6,0,0
12,0,1000,lmr,1000.112,457432,7,8g8f,0,0,False,7,7096,12
12,0,1000,history,1000.102,470606,6,8g8f,0,0,False,6,5605,1
12,1,1000,fast,1000.095,458210,6,8g8f,0,0,False,6,0,0
12,1,1000,lmr,1000.096,445400,7,8g8f,0,0,False,7,6896,12
12,1,1000,history,1000.095,494054,6,8g8f,0,0,False,6,5961,1
12,1,1000,baseline,1000.153,279306,5,8g8f,0,0,False,5,0,0
13,0,1000,fast,1000.181,414191,5,P*4h,457,0,False,8,0,0
13,0,1000,lmr,1000.095,448113,6,2h4h,0,-457,True,7,6803,32
13,0,1000,history,1000.096,459301,6,2h4h,0,-457,True,7,7812,7
13,0,1000,baseline,1000.101,287236,5,P*4h,457,0,False,8,0,0
13,1,1000,lmr,1000.101,471797,6,2h4h,0,-457,True,7,7175,32
13,1,1000,history,1000.087,492822,6,2h4h,0,-457,True,7,8329,7
13,1,1000,baseline,1000.097,288169,5,P*4h,457,0,False,8,0,0
13,1,1000,fast,1000.087,467837,5,P*4h,457,0,False,8,0,0
14,0,1000,lmr,1000.131,416567,6,6f6e,488,0,False,6,10358,9
14,0,1000,history,1000.091,455831,6,6f6e,488,0,False,6,10415,0
14,0,1000,baseline,1000.105,285343,5,6f6e,488,0,False,5,0,0
14,0,1000,fast,1000.099,465891,5,6f6e,488,0,False,5,0,0
14,1,1000,history,1000.1,463566,6,6f6e,488,0,False,6,10442,0
14,1,1000,baseline,1000.099,266158,5,6f6e,488,0,False,5,0,0
14,1,1000,fast,1000.099,480799,5,6f6e,488,0,False,5,0,0
14,1,1000,lmr,1000.093,443167,6,6f6e,488,0,False,6,10767,9
