id,game,nodes,variant,move,candidateGapCp,completedDepth,fallback
19,20,48000,base,7g7f,0,4,False
20,22,48000,base,8h7g,0,4,False
21,23,48000,base,2i3g,0,4,False
0,1,48000,pair,3g4e,161,4,False
1,2,48000,pair,7h8g,0,4,False
2,3,48000,pair,7i8h,0,4,False
3,4,48000,pair,6f5g+,179,3,False
4,5,48000,pair,4a3b,20,4,False
5,6,48000,pair,6f6e,0,5,False
6,7,48000,pair,7c7d,0,4,False
7,8,48000,pair,5a4b,129,4,False
8,9,48000,pair,3i4h,873,4,False
9,10,48000,pair,5f5e,117,4,False
10,11,48000,pair,P*7d,0,3,False
11,12,48000,pair,2h2i,0,4,False
12,13,48000,pair,9g8h,209,4,False
13,14,48000,pair,4d4e,0,4,False
14,15,48000,pair,4g4f,0,4,False
15,16,48000,pair,6f6e,0,3,False
16,17,48000,pair,5c5d,0,4,False
17,18,48000,pair,3c3d,0,4,False
18,19,48000,pair,4i3h,169,4,False
19,20,48000,pair,7g7f,0,4,False
20,22,48000,pair,8h7g,0,4,False
21,23,48000,pair,2i3g,0,4,False
0,1,48000,affine,3g4e,161,4,False
1,2,48000,affine,3g3f,203,4,False
2,3,48000,affine,6g6f,0,3,False
3,4,48000,affine,6f5g+,179,3,False
4,5,48000,affine,4a3b,20,4,False
5,6,48000,affine,6f6e,0,5,False
6,7,48000,affine,6c6d,0,4,False
7,8,48000,affine,5a4b,129,4,False
8,9,48000,affine,3i4h,873,4,False
9,10,48000,affine,5f5e,117,4,False
10,11,48000,affine,P*7d,0,4,False
11,12,48000,affine,2h2i,0,4,False
12,13,48000,affine,9g8h,209,4,False
13,14,48000,affine,4d4e,0,4,False
14,15,48000,affine,4g4f,0,4,False
15,16,48000,affine,6f6e,0,4,False
16,17,48000,affine,5c5d,0,4,False
17,18,48000,affine,3c3d,0,4,False
18,19,48000,affine,4i3h,169,4,False
19,20,48000,affine,7g7f,0,4,False
20,22,48000,affine,8h7g,0,4,False
21,23,48000,affine,2i3g,0,4,False
0,1,48000,anchored50,3g4e,161,4,False
1,2,48000,anchored50,3g3f,203,4,False
2,3,48000,anchored50,6g6f,0,4,False
3,4,48000,anchored50,6f5g+,179,4,False
4,5,48000,anchored50,4a3b,20,4,False
5,6,48000,anchored50,6f6e,0,5,False
6,7,48000,anchored50,6c6d,0,4,False
7,8,48000,anchored50,5a4b,129,4,False
8,9,48000,anchored50,3i4h,873,4,False
9,10,48000,anchored50,5f5e,117,4,False
10,11,48000,anchored50,P*7d,0,4,False
11,12,48000,anchored50,2h2i,0,4,False
12,13,48000,anchored50,9g8h,209,4,False
13,14,48000,anchored50,4d4e,0,4,False
14,15,48000,anchored50,4g4f,0,4,False
15,16,48000,anchored50,6f6e,0,4,False
16,17,48000,anchored50,5c5d,0,4,False
17,18,48000,anchored50,3c3d,0,4,False
18,19,48000,anchored50,4i3h,169,4,False
19,20,48000,anchored50,7g7f,0,4,False
20,22,48000,anchored50,8h7g,0,4,False
21,23,48000,anchored50,2i3g,0,4,False
0,1,48000,tempo40,3g4e,161,4,False
1,2,48000,tempo40,3g3f,203,4,False
2,3,48000,tempo40,6g6f,0,4,False
3,4,48000,tempo40,6f5g+,179,4,False
4,5,48000,tempo40,4a3b,20,4,False
5,6,48000,tempo40,6f6e,0,5,False
6,7,48000,tempo40,6c6d,0,4,False
7,8,48000,tempo40,5a4b,129,4,False
8,9,48000,tempo40,3i4h,873,4,False
9,10,48000,tempo40,5f5e,117,4,False
10,11,48000,tempo40,P*7d,0,4,False
11,12,48000,tempo40,2h2i,0,4,False
12,13,48000,tempo40,9g8h,209,4,False
13,14,48000,tempo40,4d4e,0,4,False
14,15,48000,tempo40,4g4f,0,4,False
15,16,48000,tempo40,6f6e,0,4,False
16,17,48000,tempo40,5c5d,0,4,False
17,18,48000,tempo40,3c3d,0,4,False
18,19,48000,tempo40,4i3h,169,4,False
19,20,48000,tempo40,7g7f,0,4,False
20,22,48000,tempo40,8h7g,0,4,False
21,23,48000,tempo40,2i3g,0,4,False
