id,rep,ms,variant,move,gap_cp,raw_cp_gap,effort_or_depth,iteration_unit,seldepth,pv_plies,nodes,elapsed_ms,fallback,stop,reductions,researches,max_legal_width
10,0,1000,history,4d3c,0,0,6,plies,14,7,416118,1000.114,False,time_limit,5512,2,0
10,0,1000,adaptive,4d3c,0,0,5,effort_steps_4,25,7,401594,1000.411,False,time_limit,146778,109,196
10,0,1000,blend,4d3c,0,0,5,effort_steps_4,26,7,392305,1000.098,False,time_limit,137925,72,191
10,1,1000,tempo,4d3c,0,0,5,effort_steps_4,25,6,416191,1000.134,False,time_limit,154841,110,192
10,1,1000,baseline,4d1a,493,493,5,plies,13,5,416569,1000.105,False,time_limit,0,0,0
10,1,1000,history,4d3c,0,0,6,plies,14,7,442795,1000.097,False,time_limit,5999,2,0
10,1,1000,adaptive,4d3c,0,0,5,effort_steps_4,25,7,426488,1000.096,False,time_limit,155181,112,196
10,1,1000,blend,4d3c,0,0,5,effort_steps_4,26,7,410536,1000.096,False,time_limit,144721,73,191
10,1,1000,clipped,4d3c,0,0,5,effort_steps_4,26,7,413009,1000.1,False,time_limit,145408,73,191
10,0,300,clipped,4d3c,0,0,4,effort_steps_4,22,5,130487,300.102,False,time_limit,45418,36,160
10,0,300,tempo,4d1a,493,493,4,effort_steps_4,20,5,133925,300.116,False,time_limit,49021,62,160
10,0,300,baseline,4d1a,493,493,5,plies,13,5,148969,300.1,False,time_limit,0,0,0
10,0,300,history,4d1a,493,493,5,plies,13,5,142062,300.106,False,time_limit,1251,1,0
10,0,300,adaptive,4d1a,493,493,4,effort_steps_4,22,5,139299,300.104,False,time_limit,46711,78,159
10,0,300,blend,4d3c,0,0,4,effort_steps_4,22,5,123782,300.292,False,time_limit,42727,36,160
10,1,300,tempo,4d1a,493,493,4,effort_steps_4,20,5,137315,300.127,False,time_limit,49497,62,160
10,1,300,baseline,4d1a,493,493,5,plies,13,5,138577,300.1,False,time_limit,0,0,0
10,1,300,history,4d1a,493,493,5,plies,13,5,137502,300.104,False,time_limit,1251,1,0
10,1,300,adaptive,4d1a,493,493,4,effort_steps_4,22,5,137023,300.101,False,time_limit,46226,78,159
10,1,300,blend,4d3c,0,0,4,effort_steps_4,22,5,125378,300.12,False,time_limit,43485,36,160
10,1,300,clipped,4d3c,0,0,4,effort_steps_4,22,5,134327,300.104,False,time_limit,47146,36,160
11,0,1000,tempo,7g8f,170,170,5,effort_steps_4,24,6,427465,1000.105,False,time_limit,90875,80,168
11,0,1000,baseline,7g8f,170,170,5,plies,13,5,455112,1000.101,False,time_limit,0,0,0
11,0,1000,history,7g8f,170,170,5,plies,13,5,449026,1001.594,False,time_limit,5481,5,0
11,0,1000,adaptive,8g8f,0,0,5,effort_steps_4,28,6,435854,1000.1,False,time_limit,137281,151,203
11,0,1000,blend,8g8f,0,0,5,effort_steps_4,24,7,437746,1000.095,False,time_limit,122103,290,168
11,0,1000,clipped,8g8f,0,0,5,effort_steps_4,24,7,430592,1000.096,False,time_limit,119975,284,168
11,1,1000,baseline,7g8f,170,170,5,plies,13,5,441916,1000.108,False,time_limit,0,0,0
11,1,1000,history,7g8f,170,170,5,plies,13,5,464861,1000.305,False,time_limit,5624,5,0
11,1,1000,adaptive,8g8f,0,0,5,effort_steps_4,28,6,416986,1000.11,False,time_limit,135167,150,203
11,1,1000,blend,8g8f,0,0,5,effort_steps_4,24,7,409919,1000.101,False,time_limit,115370,273,168
11,1,1000,clipped,8g8f,0,0,5,effort_steps_4,24,7,449721,1000.101,False,time_limit,125440,291,168
11,1,1000,tempo,7g8f,170,170,5,effort_steps_4,24,6,478382,1000.102,False,time_limit,100587,81,168
11,0,300,tempo,7g8f,170,170,4,effort_steps_4,18,5,122953,300.12,False,time_limit,45969,41,168
11,0,300,baseline,8g8f,0,0,4,plies,12,5,142630,300.096,False,time_limit,0,0,0
11,0,300,history,7g8f,170,170,5,plies,13,5,141394,300.102,False,time_limit,1401,0,0
11,0,300,adaptive,7g8f,170,170,4,effort_steps_4,21,5,141547,300.117,False,time_limit,54011,72,160
11,0,300,blend,7g8f,170,170,4,effort_steps_4,24,5,117161,300.109,False,time_limit,46812,63,160
11,0,300,clipped,7g8f,170,170,4,effort_steps_4,24,5,132312,300.1,False,time_limit,52070,78,160
11,1,300,baseline,8g8f,0,0,4,plies,12,5,150037,300.149,False,time_limit,0,0,0
11,1,300,history,7g8f,170,170,5,plies,13,5,150274,300.098,False,time_limit,1429,0,0
11,1,300,adaptive,7g8f,170,170,4,effort_steps_4,21,5,127974,300.108,False,time_limit,50461,67,160
11,1,300,blend,7g8f,170,170,4,effort_steps_4,24,5,137573,300.105,False,time_limit,53371,84,160
11,1,300,clipped,7g8f,170,170,4,effort_steps_4,24,5,137797,300.124,False,time_limit,53417,86,160
11,1,300,tempo,7g8f,170,170,4,effort_steps_4,20,5,125691,300.116,False,time_limit,46628,41,168
12,0,1000,baseline,7f7e,299,299,5,plies,13,6,444201,1000.092,False,time_limit,0,0,0
12,0,1000,history,7f7e,299,299,5,plies,13,6,441275,1000.117,False,time_limit,5324,19,0
12,0,1000,adaptive,7h8g,254,254,4,effort_steps_4,20,5,410140,1000.099,False,time_limit,152145,477,138
12,0,1000,blend,7h8g,254,254,4,effort_steps_4,24,5,415650,1000.107,False,time_limit,141628,533,141
