root,game,ms,variant,move,teacherGap,iteration,pvLength,selectiveDepth,nodes,elapsedMs,firstIterationFailure,cacheHits,cacheEntries,pathCapacityMisses
1-56,1,1000,entry1,L*5i,0,4,6,26,305315,1000.137,False,4058,100000,0
1-56,1,1000,base,L*5i,0,4,6,26,357890,1000.133,False,0,0,0
1-56,1,3000,entry1,L*5i,0,5,6,26,984193,3000.147,False,25376,100000,0
1-56,1,3000,base,L*5i,0,5,6,27,1203757,3000.101,False,0,0,0
1-56,1,5000,entry1,L*5i,0,5,6,27,1932606,5000.142,False,36748,100000,13835
1-56,1,5000,base,L*5i,0,5,6,27,1665432,5000.13,False,0,0,3607
2-24,2,1000,base,5i6i,30,5,6,24,361547,1002.095,False,0,0,0
2-24,2,1000,entry1,5i6i,30,5,6,24,382055,1000.127,False,24624,100000,0
2-24,2,3000,base,5i6i,30,5,6,25,1094069,3000.098,False,0,0,140820
2-24,2,3000,entry1,5i6i,30,5,6,25,993431,3000.178,False,44392,100000,86372
2-24,2,5000,base,5i6i,30,6,8,27,1857726,5000.133,False,0,0,308212
2-24,2,5000,entry1,5i6i,30,6,8,26,1642419,5000.15,False,62459,100000,319804
2-40,2,1000,entry1,2e2d,0,4,7,18,286312,1000.137,False,35996,100000,0
2-40,2,1000,base,2e2d,0,4,7,18,341585,1000.109,False,0,0,0
2-40,2,3000,entry1,2e2d,0,5,7,24,1041600,3000.111,False,74450,100000,22795
2-40,2,3000,base,2e2d,0,5,7,24,984590,3000.136,False,0,0,19086
2-40,2,5000,entry1,2e2d,0,5,7,24,1848904,5000.165,False,74450,100000,23228
2-40,2,5000,base,2e2d,0,5,7,24,1812348,5000.148,False,0,0,19522
2-56,2,1000,base,2d2c+,0,4,5,22,393158,1000.105,False,0,0,0
2-56,2,1000,entry1,2d2c+,0,4,5,22,377780,1000.098,False,12416,100000,0
2-56,2,3000,base,2d2c+,0,5,7,26,1165351,3000.139,False,0,0,0
2-56,2,3000,entry1,2d2c+,0,5,7,26,1203554,3000.139,False,34598,100000,0
2-56,2,5000,base,2d2c+,0,5,7,26,1843143,5000.117,False,0,0,169913
2-56,2,5000,entry1,2d2c+,0,5,7,26,1957610,5000.151,False,45747,100000,208649
3-24,3,1000,entry1,7f7e,0,4,5,26,440632,1000.106,False,9546,100000,0
3-24,3,1000,base,7f7e,0,4,5,26,376704,1000.099,False,0,0,0
3-24,3,3000,entry1,7f7e,0,4,5,26,1181184,3000.13,False,50112,100000,0
3-24,3,3000,base,7f7e,0,4,5,26,1188646,3000.159,False,0,0,0
3-24,3,5000,entry1,7f7e,0,5,6,26,1873160,5000.174,False,53561,100000,223978
3-24,3,5000,base,7f7e,0,5,6,26,1940373,5000.108,False,0,0,258914
3-40,3,1000,base,5i4h,0,4,5,20,378067,1000.105,False,0,0,0
3-40,3,1000,entry1,5i4h,0,4,5,17,307405,1000.151,False,15133,100000,0
3-40,3,3000,base,5i4h,0,5,6,21,1065992,3000.134,False,0,0,27301
3-40,3,3000,entry1,5i4h,0,5,6,22,1182102,3000.112,False,48761,100000,32085
3-40,3,5000,base,5i4h,0,5,6,23,1945319,5000.12,False,0,0,114428
3-40,3,5000,entry1,5i4h,0,5,6,22,1673154,5000.11,False,50151,100000,145730
3-56,3,1000,entry1,2i3h,404,3,7,27,383699,1000.09,False,4387,100000,0
3-56,3,1000,base,2i3h,404,3,7,27,441673,1000.101,False,0,0,0
3-56,3,3000,entry1,B*8b,0,4,5,27,1286719,3000.143,False,22353,100000,6218
3-56,3,3000,base,B*8b,0,4,5,27,1254392,3000.181,False,0,0,3959
3-56,3,5000,entry1,B*8b,0,4,5,28,2226420,5000.128,False,46394,100000,54870
3-56,3,5000,base,B*8b,0,4,5,28,2228514,5000.178,False,0,0,54823
