root,game,ms,variant,move,teacherGap,iteration,pvLength,selectiveDepth,nodes,elapsedMs,firstIterationFailure,cacheHits,cacheEntries,pathCapacityMisses
0-24,0,1000,base,4f3e,0,5,6,24,346961,1000.09,False,0,0,0
0-24,0,1000,entry1,4f3e,0,5,6,24,314286,1014.498,False,31897,100000,0
0-24,0,3000,base,4f3e,0,6,8,24,997256,3000.137,False,0,0,53859
0-24,0,3000,entry1,4f3e,0,6,8,24,1024180,3000.636,False,85616,100000,58617
0-24,0,5000,base,4f3e,0,7,11,24,1786908,5000.154,False,0,0,244428
0-24,0,5000,entry1,4f3e,0,7,11,26,1848681,5000.148,False,90849,100000,250615
0-40,0,1000,entry1,8f8e,0,3,6,19,331501,1000.098,False,3746,100000,0
0-40,0,1000,base,8f8e,0,3,6,19,365642,1000.101,False,0,0,0
0-40,0,3000,entry1,8f8e,0,4,6,21,1060340,3000.108,False,37102,100000,44737
0-40,0,3000,base,8f8e,0,4,6,19,1049328,3000.134,False,0,0,43874
0-40,0,5000,entry1,8f8e,0,4,6,21,1710336,5000.144,False,37102,100000,109063
0-40,0,5000,base,8f8e,0,4,6,21,1655199,5000.097,False,0,0,104995
0-56,0,1000,base,1c2c,0,3,9,25,569769,1000.109,False,0,0,0
0-56,0,1000,entry1,1c2c,0,2,5,21,417894,1000.117,False,364,19158,0
0-56,0,3000,base,1c2c,0,3,9,27,1408242,3000.118,False,0,0,0
0-56,0,3000,entry1,1c2c,0,3,9,27,1346224,3000.116,False,6773,100000,0
0-56,0,5000,base,1c2c,0,3,9,27,2284991,5000.116,False,0,0,287911
0-56,0,5000,entry1,1c2c,0,3,9,27,2064286,5000.133,False,8816,100000,198025
1-24,1,1000,entry1,6g6f,0,5,6,20,294156,1000.145,False,19215,100000,0
1-24,1,1000,base,6g6f,0,5,6,20,277596,1000.136,False,0,0,0
1-24,1,3000,entry1,6g6f,0,6,9,26,837400,3000.14,False,54488,100000,61880
1-24,1,3000,base,6g6f,0,6,9,26,1029231,3000.114,False,0,0,131684
1-24,1,5000,entry1,6g6f,0,6,9,26,1644971,5000.132,False,67512,100000,219536
1-24,1,5000,base,6g6f,0,6,9,26,1557629,5000.147,False,0,0,195741
1-40,1,1000,base,2h2f,0,5,6,25,363062,1000.13,False,0,0,0
1-40,1,1000,entry1,2h2f,0,5,6,25,300813,1000.145,False,10486,52666,0
1-40,1,3000,base,2h2f,0,6,11,27,962633,3000.135,False,0,0,0
1-40,1,3000,entry1,2h2f,0,6,11,26,964227,3000.163,False,28510,100000,0
1-40,1,5000,base,2h2f,0,6,11,27,1631544,5000.134,False,0,0,180398
1-40,1,5000,entry1,2h2f,0,6,11,28,1621205,5000.11,False,49940,100000,177496
