id,variant,ourMs,opponentMs,opening,side,totalPlies,outcome,reason,firstSustained500Ply,firstIterationFailures,meanOurSearchMs,meanOurWallMs,meanOpponentWallMs
black-3000-base,base,3000,2000,free,black,86,loss,checkmate,35,0,3000.1608372093024,3153.1908639999992,1786.7652392093028
black-3000-entry1,entry1,3000,2000,free,black,80,loss,checkmate,25,0,3001.335825,3151.138232349998,1755.5019852749997
black-5000-base,base,5000,2000,free,black,106,loss,checkmate,49,0,5000.212150943396,5174.166021207546,1714.6751680943416
black-5000-entry1,entry1,5000,2000,free,black,96,loss,checkmate,43,0,5000.1438125,5185.341140833336,1795.772165229167
white-3000-base,base,3000,2000,free,white,115,loss,checkmate,68,0,3000.174,3152.9683515087713,1767.2417116379308
white-3000-entry1,entry1,3000,2000,free,white,143,loss,checkmate,68,0,3000.2315774647886,3175.2190259436597,1920.52312579167
white-5000-base,base,5000,2000,free,white,115,loss,checkmate,54,0,5000.133561403509,5166.502577333333,1832.2324740344857
white-5000-entry1,entry1,5000,2000,free,white,129,loss,checkmate,72,0,5001.0129531249995,5195.041646640616,1830.3315571692292
