phase,root,repeat,variant,elapsed_ms,nodes,q_generated_moves,q_avoided_generations
cycle1,7,2,direct,16.614,2703,7117,
cycle1,0,3,direct,43.9,5041,2379,
cycle1,0,3,cycle1,29.211,5041,2379,
cycle1,0,3,v0.8,48.47,5041,,
cycle1,0,3,control,31.018,5041,308263,
cycle1,0,3,order,30.061,5041,308263,
cycle1,1,3,cycle1,28.775,5176,2249,
cycle1,1,3,v0.8,44.556,5176,,
cycle1,1,3,control,39.247,5176,334328,
cycle1,1,3,order,77.605,5176,334328,
cycle1,1,3,direct,36.673,5176,2249,
cycle1,2,3,v0.8,52.75,7053,,
cycle1,2,3,control,46.646,7053,468923,
cycle1,2,3,order,44.422,7053,468923,
cycle1,2,3,direct,57.979,7053,6301,
cycle1,2,3,cycle1,43.567,7053,6301,
cycle1,3,3,control,71.83,6600,448607,
cycle1,3,3,order,41.036,6600,448607,
cycle1,3,3,direct,38.539,6600,6350,
cycle1,3,3,cycle1,52.843,6600,6350,
cycle1,3,3,v0.8,65.305,6600,,
cycle1,4,3,order,18.232,2853,152624,
cycle1,4,3,direct,15.602,2853,6431,
cycle1,4,3,cycle1,16.491,2853,6431,
cycle1,4,3,v0.8,19.57,2853,,
cycle1,4,3,control,25.772,2853,152624,
cycle1,5,3,direct,22.415,3252,3473,
cycle1,5,3,cycle1,22.515,3252,3473,
cycle1,5,3,v0.8,18.483,3252,,
cycle1,5,3,control,19.235,3252,137871,
cycle1,5,3,order,18.189,3252,137871,
cycle1,6,3,cycle1,47.002,10003,18473,
cycle1,6,3,v0.8,84.322,10003,,
cycle1,6,3,control,55.028,10003,376482,
cycle1,6,3,order,58.645,10003,376482,
cycle1,6,3,direct,60.042,10003,18473,
cycle1,7,3,v0.8,19.398,2703,,
cycle1,7,3,control,66.688,2703,137787,
cycle1,7,3,order,20.057,2703,137787,
cycle1,7,3,direct,16.624,2703,7117,
cycle1,7,3,cycle1,21.238,2703,7117,
cycle1,0,4,cycle1,26.966,5041,2379,
cycle1,0,4,v0.8,33.893,5041,,
cycle1,0,4,control,83.244,5041,308263,
cycle1,0,4,order,30.887,5041,308263,
cycle1,0,4,direct,35.646,5041,2379,
cycle1,1,4,v0.8,34.128,5176,,
cycle1,1,4,control,60.251,5176,334328,
cycle1,1,4,order,104.392,5176,334328,
cycle1,1,4,direct,34.707,5176,2249,
cycle1,1,4,cycle1,31.881,5176,2249,
cycle1,2,4,control,59.224,7053,468923,
cycle1,2,4,order,42.371,7053,468923,
cycle1,2,4,direct,74.2,7053,6301,
cycle1,2,4,cycle1,39.542,7053,6301,
cycle1,2,4,v0.8,67.009,7053,,
cycle1,3,4,order,50.507,6600,448607,
cycle1,3,4,direct,44.456,6600,6350,
cycle1,3,4,cycle1,38.025,6600,6350,
cycle1,3,4,v0.8,60.692,6600,,
cycle1,3,4,control,58.711,6600,448607,
cycle1,4,4,direct,20.523,2853,6431,
cycle1,4,4,cycle1,16.436,2853,6431,
cycle1,4,4,v0.8,20.552,2853,,
cycle1,4,4,control,47.387,2853,152624,
cycle1,4,4,order,20.229,2853,152624,
cycle1,5,4,cycle1,17.191,3252,3473,
cycle1,5,4,v0.8,26.323,3252,,
cycle1,5,4,control,20.102,3252,137871,
cycle1,5,4,order,25.562,3252,137871,
cycle1,5,4,direct,23.934,3252,3473,
cycle1,6,4,v0.8,71.881,10003,,
cycle1,6,4,control,59.12,10003,376482,
cycle1,6,4,order,54.403,10003,376482,
cycle1,6,4,direct,59.303,10003,18473,
cycle1,6,4,cycle1,53.636,10003,18473,
cycle1,7,4,control,27.897,2703,137787,
cycle1,7,4,order,17.184,2703,137787,
cycle1,7,4,direct,15.985,2703,7117,
cycle1,7,4,cycle1,22.908,2703,7117,
cycle1,7,4,v0.8,17.87,2703,,
cycle2,0,0,v0.8,45.992,5041,,
cycle2,0,0,cycle1,30.581,5041,2379,
cycle2,0,0,cycle2,30.325,5041,1137,3352
cycle2,1,0,cycle1,35.828,5176,2249,
cycle2,1,0,cycle2,29.55,5176,970,4151
cycle2,1,0,v0.8,34.665,5176,,
cycle2,2,0,cycle2,38.824,7053,2304,4883
cycle2,2,0,v0.8,56.71,7053,,
cycle2,2,0,cycle1,43.585,7053,6301,
cycle2,3,0,v0.8,60.26,6600,,
cycle2,3,0,cycle1,61.657,6600,6350,
cycle2,3,0,cycle2,36.26,6600,2350,4679
cycle2,4,0,cycle1,13.966,2853,6431,
cycle2,4,0,cycle2,13.446,2853,1132,1914
cycle2,4,0,v0.8,19.446,2853,,
cycle2,5,0,cycle2,18.241,3252,1687,2055
cycle2,5,0,v0.8,32.871,3252,,
