id,budget,variant,gapCp,deltaGapCp,completedDepth,nodes,elapsedMs,move,fallback
0,{'nodes': 12000},base,0,0,3,12000,72.239,5i4h,False
0,{'nodes': 12000},policy1,0,0,3,12000,73.582,5i4h,False
0,{'nodes': 12000},policy4,0,0,3,12000,137.101,5i4h,False
0,{'nodes': 12000},policy16,0,0,3,12000,89.426,5i4h,False
0,{'nodes': 12000},lmr,49,49,4,12000,122.798,6g6f,False
0,{'nodes': 12000},policy4lmr,49,49,4,12000,124.046,6g6f,False
1,{'nodes': 12000},policy1,0,0,3,12000,120.759,8g8f,False
1,{'nodes': 12000},policy4,0,0,3,12000,70.17,8g8f,False
1,{'nodes': 12000},policy16,0,0,3,12000,88.31,8g8f,False
1,{'nodes': 12000},lmr,0,0,4,12000,65.139,8g8f,False
1,{'nodes': 12000},policy4lmr,0,0,4,12000,69.123,8g8f,False
1,{'nodes': 12000},base,0,0,3,12000,65.001,8g8f,False
2,{'nodes': 12000},policy4,224,0,3,12000,87.112,3i4h,False
2,{'nodes': 12000},policy16,224,0,3,12000,100.588,3i4h,False
2,{'nodes': 12000},lmr,0,-224,4,12000,84.484,2i3g,False
2,{'nodes': 12000},policy4lmr,224,0,4,12000,71.222,3i4h,False
2,{'nodes': 12000},base,224,0,3,12000,74.349,3i4h,False
2,{'nodes': 12000},policy1,224,0,3,12000,86.615,3i4h,False
3,{'nodes': 12000},policy16,0,0,4,12000,115.256,7g6h,False
3,{'nodes': 12000},lmr,0,0,4,12000,72.31,7g6h,False
3,{'nodes': 12000},policy4lmr,33,33,4,12000,75.782,5g5f,False
3,{'nodes': 12000},base,0,0,4,12000,67.43,7g6h,False
3,{'nodes': 12000},policy1,0,0,4,12000,81.542,7g6h,False
3,{'nodes': 12000},policy4,0,0,4,12000,83.823,7g6h,False
4,{'nodes': 12000},lmr,65,0,3,12000,76.415,P*5g,False
4,{'nodes': 12000},policy4lmr,65,0,3,12000,72.641,P*5g,False
4,{'nodes': 12000},base,65,0,3,12000,73.034,P*5g,False
4,{'nodes': 12000},policy1,65,0,3,12000,67.463,P*5g,False
4,{'nodes': 12000},policy4,65,0,3,12000,88.042,P*5g,False
4,{'nodes': 12000},policy16,65,0,3,12000,76.254,P*5g,False
5,{'nodes': 12000},policy4lmr,0,0,3,12000,76.496,7h7e,False
5,{'nodes': 12000},base,0,0,3,12000,64.559,7h7e,False
5,{'nodes': 12000},policy1,0,0,3,12000,63.557,7h7e,False
5,{'nodes': 12000},policy4,0,0,3,12000,62.682,7h7e,False
5,{'nodes': 12000},policy16,0,0,3,12000,76.579,7h7e,False
5,{'nodes': 12000},lmr,0,0,3,12000,81.224,7h7e,False
6,{'nodes': 12000},base,142,0,3,12000,68.16,7i7h,False
6,{'nodes': 12000},policy1,142,0,3,12000,87.097,7i7h,False
6,{'nodes': 12000},policy4,142,0,3,12000,82.468,7i7h,False
6,{'nodes': 12000},policy16,142,0,3,12000,85.986,7i7h,False
6,{'nodes': 12000},lmr,142,0,3,12000,94.845,7i7h,False
6,{'nodes': 12000},policy4lmr,142,0,4,12000,97.387,7i7h,False
7,{'nodes': 12000},policy1,0,0,3,12000,116.945,8h7g,False
7,{'nodes': 12000},policy4,0,0,3,12000,108.04,8h7g,False
7,{'nodes': 12000},policy16,0,0,3,12000,185.278,8h7g,False
7,{'nodes': 12000},lmr,0,0,4,12000,78.089,8h7g,False
7,{'nodes': 12000},policy4lmr,0,0,4,12000,86.445,8h7g,False
7,{'nodes': 12000},base,0,0,3,12000,74.833,8h7g,False
8,{'nodes': 12000},policy4,0,0,3,12000,78.834,P*2c,False
8,{'nodes': 12000},policy16,0,0,3,12000,82.173,P*2c,False
8,{'nodes': 12000},lmr,0,0,3,12000,63.4,P*2c,False
8,{'nodes': 12000},policy4lmr,0,0,3,12000,67.069,P*2c,False
8,{'nodes': 12000},base,0,0,3,12000,87.638,P*2c,False
8,{'nodes': 12000},policy1,0,0,3,12000,70.758,P*2c,False
9,{'nodes': 12000},policy16,0,0,3,12000,104.964,4i5i,False
9,{'nodes': 12000},lmr,0,0,3,12000,108.221,4i5i,False
9,{'nodes': 12000},policy4lmr,0,0,3,12000,82.106,4i5i,False
9,{'nodes': 12000},base,0,0,3,12000,81.929,4i5i,False
9,{'nodes': 12000},policy1,0,0,3,12000,90.634,4i5i,False
9,{'nodes': 12000},policy4,0,0,3,12000,79.471,4i5i,False
10,{'nodes': 12000},lmr,0,0,3,12000,121.707,7e7d,False
10,{'nodes': 12000},policy4lmr,0,0,3,12000,75.15,7e7d,False
10,{'nodes': 12000},base,0,0,3,12000,75.85,7e7d,False
10,{'nodes': 12000},policy1,0,0,3,12000,91.857,7e7d,False
10,{'nodes': 12000},policy4,0,0,3,12000,96.502,7e7d,False
10,{'nodes': 12000},policy16,0,0,3,12000,74.567,7e7d,False
11,{'nodes': 12000},policy4lmr,0,0,4,12000,84.662,3i2h,False
11,{'nodes': 12000},base,0,0,4,12000,79.362,3i2h,False
11,{'nodes': 12000},policy1,0,0,4,12000,87.362,3i2h,False
11,{'nodes': 12000},policy4,0,0,4,12000,114.577,3i2h,False
11,{'nodes': 12000},policy16,0,0,4,12000,99.534,3i2h,False
11,{'nodes': 12000},lmr,0,0,4,12000,95.952,3i2h,False
12,{'nodes': 12000},base,0,0,3,12000,86.662,7h6g,False
12,{'nodes': 12000},policy1,0,0,3,12000,116.302,7h6g,False
12,{'nodes': 12000},policy4,0,0,3,12000,152.156,7h6g,False
12,{'nodes': 12000},policy16,0,0,3,12000,116.124,7h6g,False
12,{'nodes': 12000},lmr,0,0,4,12000,107.538,7h6g,False
12,{'nodes': 12000},policy4lmr,0,0,4,12000,170.181,7h6g,False
