game,ply,ourCp
black-3000-cache,1,83
black-3000-cache,3,54
black-3000-cache,5,115
black-3000-cache,7,134
black-3000-cache,9,128
black-3000-cache,11,170
black-3000-cache,13,167
black-3000-cache,15,25
black-3000-cache,17,98
black-3000-cache,19,62
black-3000-cache,21,24
black-3000-cache,23,6
black-3000-cache,25,68
black-3000-cache,27,95
black-3000-cache,29,-106
black-3000-cache,31,-87
black-3000-cache,33,-83
black-3000-cache,35,-182
black-3000-cache,37,-63
black-3000-cache,39,-161
black-3000-cache,41,-356
black-3000-cache,43,-456
black-3000-cache,45,-404
black-3000-cache,47,-460
black-3000-cache,49,-607
black-3000-cache,51,-882
black-3000-cache,53,-761
black-3000-cache,55,-1046
black-3000-cache,57,-1233
black-3000-cache,59,-1581
black-3000-cache,61,-1976
black-3000-cache,63,-1911
black-3000-cache,65,-2253
black-3000-cache,67,-2734
black-3000-cache,69,-3020
black-3000-cache,71,-7228
black-3000-cache,73,-7982
black-3000-root,1,91
black-3000-root,3,43
black-3000-root,5,96
black-3000-root,7,111
black-3000-root,9,110
black-3000-root,11,141
black-3000-root,13,138
black-3000-root,15,25
black-3000-root,17,112
black-3000-root,19,65
black-3000-root,21,48
black-3000-root,23,25
black-3000-root,25,57
black-3000-root,27,46
black-3000-root,29,131
black-3000-root,31,121
black-3000-root,33,61
black-3000-root,35,-894
black-3000-root,37,-991
black-3000-root,39,-927
black-3000-root,41,-1142
black-3000-root,43,-1080
black-3000-root,45,-1048
black-3000-root,47,-1325
black-3000-root,49,-1265
black-3000-root,51,-1457
black-3000-root,53,-1213
black-3000-root,55,-1662
black-3000-root,57,-1398
black-3000-root,59,-1711
black-3000-root,61,-1710
black-3000-root,63,-1670
black-3000-root,65,-1897
black-3000-root,67,-2638
black-3000-root,69,-3012
black-3000-root,71,-3263
black-3000-root,73,-5515
black-3000-root,75,-6078
black-5000-cache,1,91
black-5000-cache,3,35
black-5000-cache,5,96
black-5000-cache,7,127
black-5000-cache,9,128
black-5000-cache,11,170
black-5000-cache,13,138
black-5000-cache,15,25
black-5000-cache,17,112
black-5000-cache,19,65
black-5000-cache,21,43
black-5000-cache,23,25
black-5000-cache,25,31
black-5000-cache,27,75
black-5000-cache,29,-50
black-5000-cache,31,-64
black-5000-cache,33,-102
black-5000-cache,35,-182
black-5000-cache,37,-82
black-5000-cache,39,-161
black-5000-cache,41,-356
black-5000-cache,43,-626
black-5000-cache,45,-768
black-5000-cache,47,-913
black-5000-cache,49,-824
black-5000-cache,51,-1133
black-5000-cache,53,-1261
black-5000-cache,55,-1960
black-5000-cache,57,-1892
black-5000-cache,59,-1984
black-5000-cache,61,-2016
black-5000-cache,63,-2123
black-5000-cache,65,-7540
black-5000-cache,67,-9086
black-5000-root,1,91
black-5000-root,3,60
black-5000-root,5,115
black-5000-root,7,92
black-5000-root,9,128
black-5000-root,11,145
black-5000-root,13,167
black-5000-root,15,25
black-5000-root,17,131
black-5000-root,19,62
black-5000-root,21,24
black-5000-root,23,25
black-5000-root,25,81
black-5000-root,27,95
black-5000-root,29,-125
black-5000-root,31,-87
black-5000-root,33,-131
black-5000-root,35,-144
black-5000-root,37,-63
black-5000-root,39,-250
black-5000-root,41,-356
black-5000-root,43,-456
black-5000-root,45,-537
black-5000-root,47,-543
black-5000-root,49,-674
black-5000-root,51,-813
black-5000-root,53,-713
black-5000-root,55,-1120
black-5000-root,57,-997
black-5000-root,59,-1537
black-5000-root,61,-1514
black-5000-root,63,-1503
black-5000-root,65,-1348
black-5000-root,67,-1204
black-5000-root,69,-1208
black-5000-root,71,-1267
black-5000-root,73,-1398
black-5000-root,75,-1651
black-5000-root,77,-1730
black-5000-root,79,-2378
black-5000-root,81,-2504
black-5000-root,83,-2374
black-5000-root,85,-2987
black-5000-root,87,-3311
black-5000-root,89,-2836
black-5000-root,97,-7654
black-5000-root,99,-8176
white-3000-cache,0,-45
white-3000-cache,2,-43
white-3000-cache,4,-41
white-3000-cache,6,-98
white-3000-cache,8,-160
white-3000-cache,10,-148
white-3000-cache,12,-115
white-3000-cache,14,-132
white-3000-cache,16,-126
white-3000-cache,18,-102
white-3000-cache,20,-155
white-3000-cache,22,-121
white-3000-cache,24,-114
white-3000-cache,26,-70
white-3000-cache,28,-167
white-3000-cache,30,-140
white-3000-cache,32,-184
white-3000-cache,34,-193
white-3000-cache,36,-127
white-3000-cache,38,-72
white-3000-cache,40,-200
white-3000-cache,42,-216
white-3000-cache,44,-108
white-3000-cache,46,-261
white-3000-cache,48,-308
white-3000-cache,50,-195
white-3000-cache,52,-261
white-3000-cache,54,-308
white-3000-cache,56,-270
white-3000-cache,58,-667
white-3000-cache,60,-552
white-3000-cache,62,-957
white-3000-cache,64,-1030
white-3000-cache,66,-1252
white-3000-cache,68,-1174
white-3000-cache,70,-1382
white-3000-cache,72,-1413
white-3000-cache,74,-1433
white-3000-cache,76,-1444
white-3000-cache,78,-1542
white-3000-cache,80,-1647
white-3000-cache,82,-2280
white-3000-cache,84,-2131
white-3000-cache,86,-2693
white-3000-cache,88,-2466
white-3000-cache,90,-2781
white-3000-cache,92,-4336
white-3000-cache,94,-7180
white-3000-cache,96,-6020
white-3000-cache,98,-7332
white-3000-root,0,-16
white-3000-root,2,-45
white-3000-root,4,-41
white-3000-root,6,-98
white-3000-root,8,-131
white-3000-root,10,-140
white-3000-root,12,-115
white-3000-root,14,-132
white-3000-root,16,-104
white-3000-root,18,-7
