game,ply,ourCp
white-3000-root,20,-126
white-3000-root,22,-152
white-3000-root,24,-138
white-3000-root,26,-133
white-3000-root,28,-141
white-3000-root,30,-154
white-3000-root,32,-178
white-3000-root,34,-186
white-3000-root,36,-217
white-3000-root,38,-203
white-3000-root,40,-191
white-3000-root,42,-235
white-3000-root,44,-230
white-3000-root,46,-372
white-3000-root,48,-431
white-3000-root,50,-433
white-3000-root,52,-475
white-3000-root,54,-571
white-3000-root,56,-505
white-3000-root,58,-442
white-3000-root,60,-456
white-3000-root,62,-377
white-3000-root,64,-1043
white-3000-root,66,-1520
white-3000-root,68,-1737
white-3000-root,70,-1610
white-3000-root,72,-1445
white-3000-root,74,-1526
white-3000-root,76,-1424
white-3000-root,78,-1704
white-3000-root,80,-2331
white-3000-root,82,-2650
white-3000-root,84,-3300
white-3000-root,86,-3578
white-3000-root,88,-3984
white-3000-root,90,-5057
white-3000-root,92,-7883
white-3000-root,94,-6803
white-3000-root,96,-8138
white-3000-root,98,-8404
white-5000-cache,0,-26
white-5000-cache,2,-24
white-5000-cache,4,-68
white-5000-cache,6,-71
white-5000-cache,8,-160
white-5000-cache,10,-140
white-5000-cache,12,-91
white-5000-cache,14,-113
white-5000-cache,16,-104
white-5000-cache,18,-20
white-5000-cache,20,-125
white-5000-cache,22,-152
white-5000-cache,24,-161
white-5000-cache,26,-174
white-5000-cache,28,-164
white-5000-cache,30,-154
white-5000-cache,32,-178
white-5000-cache,34,-186
white-5000-cache,36,-236
white-5000-cache,38,-343
white-5000-cache,40,-238
white-5000-cache,42,-254
white-5000-cache,44,-242
white-5000-cache,46,-257
white-5000-cache,48,-228
white-5000-cache,50,-364
white-5000-cache,52,-273
white-5000-cache,54,-302
white-5000-cache,56,-258
white-5000-cache,58,-273
white-5000-cache,60,-356
white-5000-cache,62,-305
white-5000-cache,64,-422
white-5000-cache,66,-346
white-5000-cache,68,-623
white-5000-cache,70,-342
white-5000-cache,72,-622
white-5000-cache,74,-516
white-5000-cache,76,-651
white-5000-cache,78,-593
white-5000-cache,80,-450
white-5000-cache,82,-475
white-5000-cache,84,-990
white-5000-cache,86,-1500
white-5000-cache,88,-1531
white-5000-cache,90,-1445
white-5000-cache,92,-1261
white-5000-cache,94,-1175
white-5000-cache,96,-1513
white-5000-cache,98,-1980
white-5000-cache,100,-2155
white-5000-cache,102,-2138
white-5000-cache,104,-3175
white-5000-cache,106,-3040
white-5000-cache,118,-4617
white-5000-cache,120,-4134
white-5000-cache,122,-4712
white-5000-cache,124,-7626
white-5000-root,0,-16
white-5000-root,2,-45
white-5000-root,4,-90
white-5000-root,6,-98
white-5000-root,8,-131
white-5000-root,10,-148
white-5000-root,12,-115
white-5000-root,14,-132
white-5000-root,16,-126
white-5000-root,18,-56
white-5000-root,20,-71
white-5000-root,22,-71
white-5000-root,24,-141
white-5000-root,26,-131
white-5000-root,28,-257
white-5000-root,30,-152
white-5000-root,32,-103
white-5000-root,34,-210
white-5000-root,36,0
white-5000-root,38,-254
white-5000-root,40,-238
white-5000-root,42,-268
white-5000-root,44,-353
white-5000-root,46,-414
white-5000-root,48,-396
white-5000-root,50,-656
white-5000-root,52,-768
white-5000-root,54,-665
white-5000-root,56,-760
white-5000-root,58,-766
white-5000-root,60,-805
white-5000-root,62,-698
white-5000-root,64,-632
white-5000-root,66,-1722
white-5000-root,68,-1683
white-5000-root,70,-2076
white-5000-root,72,-2554
white-5000-root,74,-2335
white-5000-root,76,-3092
white-5000-root,78,-2913
